Ref,Paper Title,Theme,Subtheme,Domain,Sample Size,Study Design,Study Type,main_contribution,tries_to_help_users_to,process_code,publication_type,year
P137,PriGuardTool: A web-based tool to detect privacy violations semantically,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,3,NA,Online Experiment,"Present PriGuardTool, a privacy management web-based tool that can detect privacy violations in online social networks. It enables users to enter their privacy constraints and then check for privacy violations at desired times, similar to virus checks. PriGuardTool is designed to detect both explicit and implicit privacy violations by using ontologies and semantic rules to analyse and infer potential privacy breaches from data, including those extracted from Facebook, thereby enabling comprehensive privacy checks on user data.",detect privacy violations,"managing OSN privacy settings, detecting privacy violations",Journal Article,2016
P138,PriMa: a comprehensive approach to privacy protection in social network sites,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,-,-,-,"Propose PriMa (Privacy Manager), a privacy protection mechanism that supports semiautomated generation of access rules for users’ profile information, filling the gap between the privacy management needs of SN users and the existing SNs’ privacy protection mechanisms.",protect from privacy breaches,"managing OSN privacy settings, making (semi-) automatic privacy decisions, protecting from privacy breaches",Conference Paper,2014
P139,PriMe: Human-centric Privacy Measurement based on User Preferences towards Data Sharing in Mobile Participatory Sensing Systems,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,65,Between-subjects design,Field Study,Propose the human-centric privacy measurement method based on users’ preferences that enable users to better understand their privacy risks in participatory sensing systems.,accept or reject tasks automatically based on their privacy concerns.,"calculating privacy risk, understanding privacy risks, accepting or rejecting tasks automatically",Conference Paper,2016
P140,PriSEC: A privacy settings enforcement controller,Controlling Information Disclosure,Managing Privacy Settings,Online Services,148,Within-subjects design,Online Experiment,"Propose a new paradigm to improve the accessibility of web privacy controls - automatically find webpages with privacy settings, locate the fine-grained options within these pages, group them by topic, present them in a searchable user interface, and allow users to automatically enforce them on demand",alleviate the burden of enforcing privacy preferences.,"managing privacy settings, configuring privacy settings automatically",Conference Paper,2021
P141,Privacy as Part of the App Decision-Making Process,Controlling Information Disclosure,Managing App Permissions,Software applications,386,Between-subjects design,Online Experiment,Designed a short “Privacy Facts” display - a simplified privacy checklist that fits on the main application display screen and can assist users to select apps that request fewer permissions,understand how applications access their information,"raising privacy awareness, making informed decision, assisting users in app selection, managing app permissions",Conference Paper,2013
P142,Privacy Care: A Tangible Interaction Framework for Privacy Management,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,15,NA,Focus Group,"Propose Privacy Care interaction framework, which is rooted in the literature of privacy management and tangible computing and promises the provision of an embodied experience that is Direct, Ready-to-Hand, and Contextual for effectively raising awareness and empowering users with seamless control in ubiquitous environments.","have an embodied experience that is Direct, Ready-to-Hand, and Contextual for effectively raising awareness and empowering users with seamless control","raising privacy awareness, controlling information disclosure, managing smart devices privacy settings",Journal Article,2021
P143,Privacy CURE: Consent Comprehension Made Easy,Improving Privacy Policy,Improving Privacy Policy Visual Presentation,Online Services,35,Within-subjects design,Online Experiment,"Present a prototype based on GDPR requirements to improve user comprehension concerning what data subjects consent to. The CURE prototype addresses the comprehensibility issues of traditional privacy policies by categorising privacy policy content, yet moves beyond mere categorisation to enhance user comprehension and control, unlike previous approaches that found users generally disliked all formats of privacy policies due to their complexity and lack of clarity.","more control over the processing of their personal data, by providing them with more transparency regarding personal data processing and giving them the opportunity to customize their consent","controlling information disclosure, enhancing comprehensiveness of privacy policies, managing consent requests, improving privacy policy content presentation",Conference Paper,2020
P144,Privacy Disclosures Detection in Natural-Language Text Through Linguistically-motivated Artificial Neural Networks,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Online Services,-,-,-,"Proposes a privacy disclosure identification framework for textual data, comprised of a neural network model with linguistics.",take control of their shared information by automatically identifying text that might contain personal or private disclosures,"controlling information disclosure, identifying personal or private disclosure",Conference Paper,2019
P145,Privacy Dynamics: Learning Privacy Norms for Social Software,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,-,-,-,"Present Privacy Dynamics, an adaptive architecture that learns privacy norms for different audience groups based on users’ sharing behaviours and can provide sharing recommendations to users as well as assisting them to re-configure the groups they explicitly defined using OSN settings.",re-configure the groups they explicitly defined using OSN settings.,"managing OSN privacy settings, sharing information based on privacy norms",Conference Paper,2016
P146,Privacy in Social Networks: How Risky is Your Social Graph?,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,-,-,-,"Propose a measure for estimating the risk, in terms of disclosure of personal information, of interacting with unfamiliar individuals on social networks.",be more privacy-aware,"raising privacy awareness, estimating privacy risk",Conference Paper,2012
P147,Privacy measurement method using a graph structure on online social networks,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,-,-,-,"Propose a user privacy measurement that can be comprehensively quantified within the social network environment of the individual. Users can recognize their privacy leakage status as a metric value in complex social network scenarios, thus achieving privacy protection.",improve their privacy disclosures by helping them recognize their privacy status,"raising privacy awareness, measuring privacy score",Journal Article,2021
P148,Privacy Modelling and Management for Assisted Living within Smart Homes,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Internet of Things,-,-,-,Propose a framework for privacy modeling computation and management for AAL  (Ambient Assisted Living) within Smart Homes. It is developed a metric to compute the sensitivity of the collected information and consequently the potential privacy risk. ,raise awareness and be alert about the sensitivity of the information that is collected and shared in their smart home environments,"raising privacy awareness, computing privacy risk",Conference Paper,2017
P149,Privacy Negotiation Mechanism in Internet of Things Environments,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,20,Within-subjects design,Laboratory Experiment,Present a mechanism of preservation of privacy in IoT environments. This mechanism aims to mediate the exchange of information that occurs in these environments to help users better manage the disclosure of their data.,better manage the disclosure of their data,"controlling information disclosure, managing privacy settings in IoT environments",Conference Paper,2018
P150,Privacy Pal: Improving Permission Safety Awareness of Third Party Applications in Online Social Networks,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,8,Within-subjects design,Laboratory Experiment,"Present Privacy Pal, a simple and effective analysis and visualization tool that allows users to gain an increased level of understanding on the security and privacy risks associated with granting permissions to third party applications in online social networks, like Facebook",make an informed decision regarding privacy and security risks associated with Facebook apps before they are downloaded,"raising privacy awareness, making informed decision, assisting users in app selection, calculating privacy risk",Conference Paper,2015
P151,Privacy policies for shared content in social network sites,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,119,NA,Survey,"Present a theoretical representation of the collective privacy management problem and propose a solution which builds upon a game theory-based model for collectively enforcing privacy policies on shared data, proposing an automated image-sharing solution grounded in extended content ownership and the Clarke-Tax mechanism to encourage truthfulness and reward co-ownership promotion, enabling users to create friendship-based policies using metrics from a central user in social networks.",be free from the burden of manually selecting privacy preferences for each picture,managing multiparty privacy,Journal Article,2010
P152,Privacy Policy Inference of User-Uploaded Images on Content Sharing Sites,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,196,NA,Online Experiment,Propose an Adaptive Privacy Policy Prediction (A3P) system which aims to provide users a hassle-free privacy settings experience by automatically generating personalized policies.,compose privacy settings for their images,"managing OSN privacy settings, recommending privacy settings, configuring privacy settings for image sharing",Journal Article,2015
P153,Privacy policy negotiation in social media,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,-,-,-,"Propose a negotiation mechanism for users to agree on a compromise for privacy conflicts. It addresses the challenge of the exponentially growing space of potential deals for resolving conflicts in social media, which could hinder real-time use due to complexity.  They introduce heuristics to narrow down this space to the most promising deals, reducing complexity while maintaining near-optimal negotiation outcomes.",negotiate privacy,"managing multiparty privacy, resolving privacy conflicts",Journal Article,2016
P154,Privacy preference modeling and prediction in a simulated campuswide IoT environment,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,172,NA,Laboratory Experiment,"Build machine learning models to predict users’ privacy decisions, regarding privacy preferences, using both contextual information and the corresponding cluster membership as training data.",protect privacy in ubiquitous computing environments,"managing privacy settings, managing ubiquitous computing privacy settings, predicting user privacy decisions",Conference Paper,2017
P155,Privacy protection based privacy conflict detection and solution in online social networks,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,24,Within-subjects design,Laboratory Experiment,Propose a collective privacy protection (CPP) to balance between the collaborative information sharing and the privacy protection for the owner and co-owners by majority vote,create the privacy policy and the co-owners to make a decision in the privacy policy by vote,"managing multiparty privacy, resolving privacy conflicts",Journal Article,2014
P156,Privacy Rating: A User-Centered Approach for Visualizing Data Handling Practices of Online Services,Improving Privacy Policy,Improving Privacy Policy Visual Presentation,Online Services,30,Between-subjects design,Remote moderated experiment,"The design and evaluation of the Privacy Rating, a privacy visualisation tool aimed at empowering users to responsibly manage and protect their online privacy. The label is the result of a research-based inventory of important privacy risks. It includes an efficient tool for mapping privacy features. It is designed to raise privacy awareness among nonengaged users and provide relevant, well-organised information to users concerned about privacy.",manage and protect their online privacy responsibly/ safeguard their online privacy and thus limit the privacy paradox,"raising privacy awareness, managing online privacy, improving privacy policies visually",Journal Article,2021
P157,Privacy Risk Analysis to Enable Informed Privacy Settings,Controlling Information Disclosure,Managing Privacy Settings,Software applications,-,-,-,"Present a method relying on a privacy risk analysis parameterized by privacy settings. The user can express his choices, visualize their impact on the privacy risks through a user-friendly interface and, if needed, decide to revise them to reduce risks to an acceptable level.",be informed about the consequences of their privacy settings in a simple and intelligible way,"managing privacy settings, making informed decision, calculating privacy risk",Conference Paper,2018
P158,Privacy Scoring of Social Network Users as a Service,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,-,-,-,"Propose a privacy scoring framework for calculating privacy scores of friends from individual ego users’ perspective, aimed at assessing information sharing behaviour and enabling informed decisions about audience visibility, addressing the limitations of current social network privacy settings.",take an informed decision on who sees what information,"managing OSN privacy settings, calculating privacy score, making informed decision",Conference Paper,2015
P159,Privacy settings recommender for Online Social Network,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,30,NA,Online Experiment,"Present a recommendation system that, exploiting an association rules mining process, learns OSN users’ habits in releasing resources in online social networks, and exploit them to suggest customized access control policies.",define customised and fine-grained access control policies,"managing OSN privacy settings, recommending privacy settings",Conference Paper,2017
P160,Privacy theory in practice: designing a user interface for managing location privacy on mobile devices,Controlling Information Disclosure,Managing App Permissions,Software applications,23,Within-subjects design,Laboratory Experiment,"Designed a UI to communicate and manage location privacy settings for LBSs on mobile devices, based on the analysis of relevant theories - privacy theory (Westin), privacy by design principles and general UI design principles.","address three key issues: whom to share location with, when to share it, and where to share it","managing location privacy settings, managing app permission requests",Journal Article,2018
P161,Privacy-aware location privacy preference recommendations,Controlling Information Disclosure,Managing Privacy Settings,Software applications,-,-,-,"Propose a recommender based on user-user collaborative filtering (CF) for recommending location privacy preferences for users. Since these recommendations derive from crowdsourcing opinions, the system can also perform well even if there are insufficient data for new users during cold-start periods.",articulate and refine their privacy preferences,"recommending privacy settings, managing location privacy settings",Conference Paper,2014
P162,Privacy-Aware Personal Data Storage (P-PDS): Learning how to Protect User Privacy from External Applications,Controlling Information Disclosure,Managing Privacy Settings,Online Services,360,Within-subjects design,Online Experiment,"Propose a Privacy-aware Personal Data Storage, able to automatically take privacy-aware decisions on third parties access requests in accordance with user preferences",specify their privacy preferences on PDS data,"managing privacy settings, managing personal data storage",Journal Article,2021
P163,Privacy-Preserving Architecture for Cloud-IoT Platforms,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,-,-,-,"Design of an architecture to tackle privacy issues in IoT, specifically in the data collection and data management processes. A distinctive feature of the Data Bank is that it includes tools to customise both data collection (locally, at the device level) and data sharing (for data stored in cloud repositories), and a privacy-utility mechanism that recommends services based on user preferences and benefits, conducts data analysis to identify regular requests, and addresses GDPR privacy requirements by suggesting default settings, enhancing user control over data exchange for services.","store and manage all their data, choosing the level of privacy/benefit they want (trading data for services) rather than having an all/nothing choice","managing personal data storage, controlling information disclosure, configuring permissions automatically",Conference Paper,2019
P164,Privacy-Preserving Enhanced Collaborative Tagging,Controlling Information Disclosure,Managing Privacy Settings,Online Services,-,-,-,"Present an architecture that incorporates two layers in support of enhanced and private collaborative tagging. The study uses tag suppression, a privacy-enhancing technology that protects end-user privacy by preventing profiling based on specified tags and analysing its impact on the efficacy of policy-based collaborative tagging systems, with the approach selectively dropping tags that bias a user's interest profile.",preserve their privacy while tagging.,"controlling information disclosure, preventing profiling",Journal Article,2014
P165,PrivacyBot: Detecting Privacy Sensitive Information in Unstructured Texts,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Online Services,-,-,-,"Present PrivacyBot, a machine-learning based proof-of-concept that detects PSI (Privacy Sensitive Information) in user-generated unstructured texts. It can, for example, be integrated into SNS and alert users to the disclosure of PSI during typing.",protect the unintended disclosure of especially privacy sensitive personal data,"protecting unintended disclosure, alerting disclosure of privacy-sensitive data",Conference Paper,2019
P166,PrivacyCheck: Automatic summarization of privacy policies using data mining,Improving Privacy Policy,Improving Privacy Policy Readability,Online Services,-,-,-,"Propose a novel technique that automatically extracts summaries of online privacy policies. The developed tool, PrivacyCheck, evaluates privacy policies based on 10 key factors, assigning each a risk level from red to green based on how personal information like email addresses is handled, using a machine-learning model informed by expert input and prior research.",protect her privacy without having to read privacy policies in detail,"parsing privacy policies, supporting the reading of privacy policies, evaluating privacy policies",Journal Article,2018
P167,PrivacyGuide: Towards an Implementation of the EU GDPR on Internet Privacy Policy Evaluation,Improving Privacy Policy,Improving Privacy Policy Readability,Online Services,-,-,-,"Introduce PrivacyGuide, a privacy policy summarization tool inspired by the European Union (EU) General Data Protection Regulation (GDPR) and based on machine learning and natural language processing techniques",read and understand privacy policies,"improving comprehensibility of privacy policies, parsing privacy policies, supporting the reading of privacy policies",Conference Paper,2018
P168,PrivacyPalisade: Evaluating app permissions and building privacy into smartphones,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,-,-,-,Propose a model that groups apps together in terms of advertised functionality and assesses an app’s privacy intrusiveness based on the requested permissions relative to similar apps.,be protected from potentially privacy invasive apps and improve user comprehension,"managing app permission requests, raising privacy awareness, making informed decision, assessing app's privacy intrusiveness",Conference Paper,2016
P169,PrivacyPrimer: Towards Privacy-Preserving Episodic Memory Support for Older Adults,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,468,Within-subjects design,Online Experiment,Propose a set of obfuscation strategies that naturally balances the trade-off between reminiscability and privacy (revealing social ties) while selectively obfuscating parts of the images,protect their private social lives while allowing them to reminisce about their own life experiences,"controlling information disclosure, protecting social life, selectively obfuscating parts of images",Conference Paper,2021
P170,PrivacyZone: A Novel Approach to Protecting Location Privacy of Mobile Users,Controlling Information Disclosure,Managing Privacy Settings,Software applications,-,-,-,"Propose PrivacyZone, a context-aware, personalisable, and fine-grained location permission system. Users can define privacy-sensitive areas and levels using map selections or semantic descriptions and specify boundaries based on spatial regions or travel time distances, considering road and traffic constraints.",preserve location privacy,managing location privacy settings,Conference Paper,2019
P171,PrivattNet: Predicting privacy risks in images using visual attention,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,-,-,-,"Propose PrivAttNet – a visual attention based approach, that can be trained end-to-end to estimate the privacy sensitivity of images without explicitly detecting sensitive objects and attributes present in the image",visualise the sensitive regions of images,"raising privacy awareness, estimating privacy sensitivity",Conference Paper,2020
P172,Privee: An Architecture for Automatically Analyzing Web Privacy Policies,Improving Privacy Policy,Improving Privacy Policy Readability,Online Services,-,-,-,Present Privee—a novel concept for analyzing natural language privacy policies based on crowdsourcing and automatic classification techniques,read and understand privacy policies,"improving comprehensibility of privacy policies, parsing privacy policies, supporting the reading of privacy policies",Conference Paper,2014
P173,PriView – Exploring Visualisations to Support Users’ Privacy Awareness,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Internet of Things,24,Within-subjects design,Laboratory Experiment,"PriView, a concept that allows privacy-invasive devices in the users’ vicinity to be visualised. PriView is motivated by an ever-increasing number of sensors in our environments tracking potentially sensitive data (e.g., audio and video).",visualise potential privacy intrusion in the users’ vicinity,"raising privacy awareness, visualising privacy-invasive devices",Conference Paper,2021
P174,PrivOnto: A semantic framework for the analysis of privacy policies,Improving Privacy Policy,Improving Privacy Policy Readability,Online Services,-,-,-,"Introduce PrivOnto, a semantic framework to represent annotated privacy policies. It relies on an ontology developed to represent issues identified as critical to users and/or legal experts.",better appreciate the ramifications of a given policy,"improving comprehensibility of privacy policies, parsing privacy policies",Journal Article,2018
P176,Quality of Private Information (QoPI) model for effective representation and prediction of privacy controls in mobile computing,Controlling Information Disclosure,Managing App Permissions,Software applications,51,NA,Survey,"Define a quality of private information (QoPI) model to represent various types and quality levels of users’ private information required by mobile applications. The QoPI model introduces a fine-grained privacy control method that allows users to select the quality level of private information shared with mobile applications, effectively managing privacy based on user preferences and the context of application use.",make use of more personalized privacy controls in mobile computing by predicting the pattern of users’ privacy controls in a given situation,"managing app permission requests, recommending permission settings",Journal Article,2017
P177,Real-Time Privacy Risk Quantification in Online Social Networks,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,-,-,-,Model vulnerable user profiles via machine learning techniques to compute the vulnerability of the OSN users against the profile matching risk by only analyzing the user profiles in the anonymous OSN,understand their privacy risks due to their public sharings and be more conscious about their online privacy,"raising privacy awareness, computing privacy risk",Conference Paper,2021
P178,Reaper: Real-time app analysis for augmenting the android permission system,Controlling Information Disclosure,Managing App Permissions,Software applications,-,-,-,"Present Reaper, a novel dynamic analysis system that traces the permissions requested by apps in real time and distinguishes those requested by the app’s core functionality from those requested by third-party libraries linked with the app",selectively deny permissions that are not part of an app’s core functionality,managing app permission requests,Conference Paper,2019
P179,Recommendations for a smart toy parental control tool,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,136,Within-subjects design,Laboratory Experiment,"Propose a reference solution for smart toy parental control tools, with which parents can take control and adequately manage their children’s data according to their preferences.",take control and adequately manage their children’s data according to their preferences,"controlling information disclosure, managing privacy settings in smart toys, managing privacy settings in smart devices",Journal Article,2022
P180,REMIND: Risk Estimation Mechanism for Images in Network Distribution,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,183,Within-subjects design,A/B testing,Present a novel risk reminder system that offers the social network users a quantitative view of their image sharing risks due to friend-to-friend re-sharing. It also has a policy harmonization that helps resolve privacy differences in multi-owner photographs.,make informed decisions when setting their privacy preferences,"managing OSN privacy settings, making informed decision, managing multiparty privacy",Journal Article,2019
P181,Resolving Multi-Party Privacy Conflicts in Social Media,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,50,Within-subjects design,Online Experiment,Present a mechanism for detecting and resolving privacy conflicts in Social Media that is based on current empirical evidence about privacy negotiations and disclosure driving factors in Social Media and is able to adapt the conflict resolution strategy based on the particular situation,achieve a satisfactory solution for all parties involved in multi-party privacy conflicts,"managing multiparty privacy, resolving privacy conflicts",Journal Article,2016
P182,RIPA: Real-time image privacy alert system,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,-,-,-,"Propose a Real Time Image Privacy Alert (RIPA) System which helps classify and detect privacy sensitive objects within the images being uploaded, considering that privacy and security threats arising from an image uploaded on-line are not only limited to the data owners",prevent the privacy violation,"managing multiparty privacy, configuring privacy settings for image sharing, detecting privacy violation",Conference Paper,2018
P183,Scoring Users' Privacy Disclosure Across Multiple Online Social Networks,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,15,NA,Online Experiment,Propose a system to compute information visibility as a factor that has a direct impact on a user’s privacy disclosure score. The privacy disclosure score (PDS) is based on the information shared across multiple social networking sites,have a more detailed examination of the information they want to share in the future,"raising privacy awareness, computing privacy score",Journal Article,2017
P184,Seeing is believing: Towards interactive visual exploration of data privacy in federated learning,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Online Services,38,NA,Online Survey,Design the first interactive visualization system for Federated Learning (FL) privacy that supports intelligible privacy inspection and adjustment for data owners,realize private data minimization and to interactively inspect and control private information leakage,"controlling information disclosure, controlling information leakage",Journal Article,2023
P185,Self-service Privacy: User-Centric Privacy for Network-Centric Identity,Controlling Information Disclosure,Managing Privacy Settings,Online Services,-,-,-,"Present Privacy Controller is a solution to help users actively control the privacy of their personal information while using services in the digital world. It explores how best to set up a single control point for users to manage privacy policies for their personal information, which may be distributed (scattered) across a set of network-centric identity management systems.","understand how much personal information about them is being stored, who has accessed it and how it will be safeguarded in the future.","raising privacy awareness, managing privacy preferences, controlling information disclosure",Conference Paper,2010
P186,Semantic-based privacy settings negotiation and management,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,295,Within-subjects design,Online Experiment,"Propose an approach that exploits Semantic Web Technology (SWT) to manage the interactive setting of users’ privacy preferences in the IoT. In the approach, SWT enables lightweight and interoperable communication between a Personal Data Manager (PDM) and the Third Parties (TPs) that request access to the user’s personal data.",relieve users from the burden of specifying their privacy requirement for each TP.,"managing privacy settings in smart devices, recommending privacy settings",Journal Article,2020
P187,SmarPer: Context-Aware and Automatic Runtime-Permissions for Mobile Devices,Controlling Information Disclosure,Managing App Permissions,Software applications,41,NA,Field Study,"Propose “Smart Permissions” (“SmarPer”), an advanced permission mechanism for Android with three main goals: context-aware permissions, automatic decision-making at runtime, and data obfuscation.",better manage permissions,"managing app permission requests, configuring permissions automatically",Conference Paper,2017
P188,Smart Data Agent for Preserving Location Privacy,Controlling Information Disclosure,Managing App Permissions,Software applications,25,NA,Survey,"Proposed an Agent model that behaves as an advanced data location manager and interacts with the apps instead of letting them directly access the location data.  This neural network-based intelligent agent learns user privacy preferences, predicts future privacy settings, and disrupts spatial and temporal correlations through perturbations to hinder third-party data predictions.","have more options for controlling what to share, how much to share, and with whom to share data","controlling information disclosure, managing location privacy settings, managing app permission requests",Conference Paper,2020
P189,Smart toys and children’s privacy: Usable privacy policy insights from a card sorting experiment,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,30,NA,Card Sorting,"Present a new model for nutrition label style mobile parental privacy controls for smart toys, one that provides a linear interface (non-tabular) for the nutrition label model.",protect the privacy of their kids,"managing privacy settings in smart toys, managing privacy settings in smart devices",Conference Paper,2019
P190,SoSharP: Recommending Sharing Policies in Multiuser Privacy Scenarios,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,-,-,-,"Present SoSharP, a recommender for sharing policies. 
SoSharP enhances multiuser privacy by learning to recommend sharing policies based on context and preferences, offering suggestions amidst incomplete information, and refining these recommendations through incremental user feedback.",reduce the cognitive burden and social stress in making decisions that promote privacy,"recommending privacy setting, managing multiparty privacy, making informed decision",Journal Article,2017
P191,Styx: Privacy risk communication for the Android smartphone platform based on apps' data-access behavior patterns,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,50,Between-subjects design,Laboratory Experiment,"Introduce Styx, a real-time privacy risk communication system for Android that provides users with privacy risk information based on the second-order privacy risk perspective ( long-term privacy risks from smartphone app usage, highlighting the impact of user profiling and data mining on privacy)",compare different apps regarding their privacy properties,"raising privacy awareness, computing privacy risk, assisting users in app selection",Journal Article,2015
P192,Taking Situation-Based Privacy Decisions: Privacy Assistants Working with Humans,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,-,-,-,"Propose a novel agent-based privacy assistant PAS to handle interactions with IoT devices that can make privacy decisions on behalf of the users per situation, even when the user has not explicitly been in a similar situation before",have an agent making privacy decisions in different situations on behalf of the users,recommending sharing decisions,Conference Paper,2022
P193,Textured agreements: Re-envisioning electronic consent,Improving Privacy Policy,Improving Privacy Policy Visual Presentation,Online Services,112,Between-subjects design,Laboratory Experiment,"Develop textured agreements, visually redesigned agreements that employ factoids, vignettes, and iconic symbols to accentuate information and highlight its personal relevance",understand lengthy agreements,"improving comprehensibility of privacy policies, improving visual presentation of privacy policies",Conference Paper,2010
P194,The Feasibility of Dynamically Granted Permissions: Aligning Mobile Privacy with User Preferences,Controlling Information Disclosure,Managing App Permissions,Software applications,131,NA,Experience Sampling Method (ESM),"A classifier that makes privacy decisions on the user’s behalf by detecting when the context has changed and, when necessary, inferring privacy preferences based on the user’s past decisions and behaviour. The system aims to autonomously grant appropriate permission requests, deny unsuitable ones, and only prompt the user for input when it is uncertain about their preferences.",automatically manage permissions,"managing app permission requests, recommending permission settings, configuring permissions automatically",Conference Paper,2017
P195,The Long-Standing Privacy Debate: Mobile Websites Vs Mobile Apps,Controlling Information Disclosure,Managing App Permissions,Software applications,-,-,-,"Propose an anti-tracking mechanism that enables users to access an online service through a mobile app without risking their privacy. The antiTrackDroid system is an antitracking mechanism for Android apps, similar to the state-of-the-art ad-blockers of mobile browsers.",improve their privacy even when using a mobile app,"preventing tracking on mobile apps, controlling information leak",Journal Article,2017
P196,The privacy badge: A privacy-awareness user interface for small devices,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,10,Within-subjects design,Laboratory Experiment,"Present the Privacy Badge, a privacy-awareness user interface designed for small devices. The Privacy Badge shows users the abstract process of privacy loss as they interact with pervasive services, highlighting the increasing disclosure of private data over time, allowing them to set their privacy settings.",do privacy settings in in an easy and understandable way,"highlighting increasing disclosure of private data, showing privacy loss, privacy awareness",Conference Paper,2007
P197,TLDR: Deep Learning-Based Automated Privacy Policy Annotation with Key Policy Highlights,Improving Privacy Policy,Improving Privacy Policy Readability,Online Services,20,Between-subjects design,Laboratory Experiment,"Introduce TLDR, a machine learning-based automated ensemble of privacy policy classifiers, for (i) categorizing the content into nine privacy policy categories with high performance and (ii) detecting missing information in the privacy policies",reduce the privacy policy average reading time,"improving comprehensibility of privacy policies, parsing privacy policies, detecting missing information, reducing the reading time of privacy policies",Conference Paper,2021
P198,Toward an approach to privacy notices in IoT,Improving Privacy Policy,Improving Privacy Policy Readability,Internet of Things,25,Within-subjects design,Survey,"Propose a method to extract notice and choice statements from privacy policies for IoT users to decide about their privacy, aiming to propose a method for software designers and developers to create more effective privacy policies.",make decision and understand privacy notices,"improving comprehensibility of privacy policies, making informed decision, parsing privacy policies",Conference Paper,2017
P199,Toward domain-guided controllable summarization of privacy policies,Improving Privacy Policy,Improving Privacy Policy Readability,Online Services,-,-,-,"Propose a domain-aware extractive model for summarising the privacy contracts, with a hybrid approach to identify sections of privacy policies with a high privacy risk factor.",view a summary that captures different privacy factors or a summary that covers the riskiest content.,"improving comprehensibility of privacy policies, parsing privacy policies, summarising privacy policies",Conference Paper,2020
P200,Towards a comprehensive analytical framework for smart toy privacy practices,Improving Privacy Policy,Advancing Privacy Policy Assessment,Internet of Things,-,-,-,"Propose a comprehensive analytical framework based on 17 privacy-sensitive criteria to systematically evaluate selected privacy aspects of smart toys. Such privacy aspects are from publicly accessible privacy policies, terms of use, and static analysis of associated Android apps.",better understand their policies and to be able to compare them,"comparing privacy policies in smart toys, evaluating privacy aspects",Conference Paper,2018
P201,Towards a Model of User-centered Privacy Preservation,Controlling Information Disclosure,Managing Privacy Settings,Online Services,-,-,-,"Present a model of user-centered privacy that can be used to analyse a service’s behaviour against user preferences, such that a user can be informed of the privacy implications of that service and what fine-grained actions they can take to maintain their privacy.",better understand how systems use their private data,"managing privacy settings, making informed decision, understanding the use of their private data ",Conference Paper,2017
P202,Towards a Privacy Rule Conceptual Model for Smart Toys,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,-,-,-,"Presents a privacy rule conceptual model with the concepts of smart toy, mobile service, device, location, and guidance with related privacy entities: purpose, recipient, obligation, and retention for smart toys",create privacy rules and receive acknowledgements regarding their child’s privacy sensitive location data,"creating privacy rules, managing location privacy settings, managing privacy settings in smart toys, managing privacy settings in smart devices",Journal Article,2017
P203,Towards a Visual Privacy Advisor: Understanding and Predicting Privacy Risks in Images,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,50,NA,Online Survey,Propose a Visual Privacy Advisor that helps users enforce their privacy preferences and prevents leakage of private information.,enforce their privacy preferences and prevents leakage of private information,"managing privacy settings, preventing information leakage",Conference Paper,2017
